path,category,flavor,tracked_status,top_level_keys,n_scalar_params,seed_keys,hardware_keys
configs/pal/pal_v3_main_gemini_tasks.run.json,pal,run,local_or_ignored,annotation_sheet_path;baseline_model;interactions;metadata;mode;prefer_cuda;tasks_path;tasks_per_round;tracks;uncertainty_method,10,,prefer_cuda=False
configs/pal/pal_v4_main_culturemert_prepare.example.json,pal,example,tracked,baseline_model;candidate_tasks;group_field;metadata;out_dir;pilot_seed;pilot_tasks;pool_multiplier;prefer_cuda;round1_seed;round1_tasks;tracks;uncertainty_method,13,pilot_seed;round1_seed,prefer_cuda=False
configs/pal/pal_v4_main_culturemert_prepare.run.json,pal,run,tracked,baseline_model;candidate_tasks;group_field;metadata;out_dir;pilot_seed;pilot_tasks;pool_multiplier;prefer_cuda;round1_seed;round1_tasks;tracks;uncertainty_method,13,pilot_seed;round1_seed,prefer_cuda=False
configs/pal/pal_v4_main_culturemert_real.example.json,pal,example,tracked,annotations_csv;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;seed;tracks,23,seed,prefer_cuda=False
configs/pal/pal_v4_main_culturemert_real.run.json,pal,run,tracked,annotations_csv;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;seed;tracks,23,seed,prefer_cuda=False
configs/train/train_v3_culturemert_prepal_source.run.json,train,run,tracked,batch_size;beta_kl;constraint_margin;constraints;epochs;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lambda_hsic;lambda_source;lambda_tc;lr;out;prefer_cuda;regularizer_warmup_epochs;seed;shared_encoder;source_balanced_batch;tracks,20,seed,prefer_cuda=True
configs/train/train_v3_culturemert_stage3.run.json,train,run,tracked,batch_size;beta_kl;constraint_batch_size;constraint_candidate_pool_size;constraint_hard_mining;constraint_margin;constraint_start_epoch;constraint_warmup_epochs;constraints;epochs;interactions;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lambda_hsic;lambda_rank;lambda_source;lambda_tc;lr;out;prefer_cuda;rank_start_epoch;rank_warmup_epochs;ranking_batch_size;ranking_margin;ranking_negatives;ranking_same_culture_ratio;regularizer_warmup_epochs;seed;shared_encoder;source_balanced_batch;tracks,33,seed,prefer_cuda=True
configs/train/train_v3_gemini_prepal_source.run.json,train,run,tracked,batch_size;beta_kl;constraint_margin;constraints;epochs;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lambda_hsic;lambda_source;lambda_tc;lr;out;prefer_cuda;regularizer_warmup_epochs;seed;shared_encoder;source_balanced_batch;tracks,20,seed,prefer_cuda=True
configs/train/train_v3_gemini_prepal_source_harmonized.run.json,train,run,local_or_ignored,batch_size;beta_kl;constraint_margin;constraints;epochs;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lambda_hsic;lambda_source;lambda_tc;lr;out;prefer_cuda;regularizer_warmup_epochs;seed;shared_encoder;source_balanced_batch;tracks,20,seed,prefer_cuda=True
configs/train/train_v4_main_culturemert.run.json,train,run,tracked,batch_size;beta_kl;constraint_batch_size;constraint_candidate_pool_size;constraint_hard_mining;constraint_margin;constraint_start_epoch;constraint_warmup_epochs;constraints;epochs;interactions;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lambda_hsic;lambda_rank;lambda_source;lambda_tc;lr;out;prefer_cuda;rank_start_epoch;rank_warmup_epochs;ranking_batch_size;ranking_margin;ranking_negatives;ranking_same_culture_ratio;regularizer_warmup_epochs;seed;shared_encoder;source_balanced_batch;tracks,33,seed,prefer_cuda=True
configs/train/train_v4_main_culturemert_stage3.run.json,train,run,tracked,batch_size;beta_kl;constraint_batch_size;constraint_candidate_pool_size;constraint_hard_mining;constraint_margin;constraint_start_epoch;constraint_warmup_epochs;constraints;epochs;interactions;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lambda_hsic;lambda_rank;lambda_source;lambda_tc;lr;out;prefer_cuda;rank_start_epoch;rank_warmup_epochs;ranking_batch_size;ranking_margin;ranking_negatives;ranking_same_culture_ratio;regularizer_warmup_epochs;seed;shared_encoder;source_balanced_batch;tracks,33,seed,prefer_cuda=True
